mpn,manufacturer,"product name","product  description ",price,stock,"stock description","product url","image url",category,"shipping rate"
COMOXID5,Combinal,"Combinal Hydrogen Peroxide 5% 20Ml",,"15.16 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/combinal-hydrogen-peroxide-5-20ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/c/o/comoxid5_01_vwhys8ozear7ivnd.jpg,"Eyelash & Brow Tinting",COMOXID5
COMPADS,Combinal,"Combinal Eyelash Pads 96Pcs.",,"18.36 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/combinal-eyelash-pads-96pcs,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/c/o/compads_540x260_fszqwdv1csltakq8.png,"Eyelash & Brow Tinting",COMPADS
COMPDISH,Combinal,"Combinal Plastic Mixing Dish",,"2.36 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/combinal-plastic-mixing-dish,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/c/o/compdish_cx8rxiqd5wie7i15.jpg,"Eyelash & Brow Tinting",COMPDISH
COMPROTECT,Combinal,"Combinal Skin Protection Cream 100Ml",,"54.00 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/combinal-skin-protection-cream-100ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/c/o/comprotect_331x705_wj5yb9uwzpmhkala.png,"Eyelash & Brow Tinting",COMPROTECT
COMREMOVER,Combinal,"Combinal Eye Make-Up Remover 125Ml",,"58.80 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/combinal-eye-make-up-remover-125ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/c/o/comremover_01_540x540_synsg5epwanhmpik.jpeg,"Eyelash & Brow Tinting",COMREMOVER
COMSTARTERKIT,Combinal,"Combinal Starter Brow And Lash Dye Kit",,"315.16 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/combinal-starter-brow-and-lash-dye-kit,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/l/l/ll_540x402_uitast6tnlckxxlo.png,"Eyelash & Brow Tinting",COMSTARTERKIT
FEHWCREWA,"Foot Expertise","Foot Expertise Cream Wash - 200Ml","Refreshing, deodorizing cleanser. A lightweight, cleansing milk ideal to keep the feet soft and deeply moisturized, guaranteeing a refreshing and deodorizing action; the creamy texture is particularly suitable to delicately cleanse dry foot skin, without altering the skin natural protective barrier.PRODUCT FEATURES:Helps to soften hard skin preventing the formation of corns and eventually contributing to their removal through subsequent treatmentsEnriched with TRICLOSAN and essential oils of THYME and LAVENDER with skin-purifying and anti-microbial propertiesSuitable for all foot skin types, also for skins affected by diabetes and dermatitisApproved by your skin: Free from PARABENS | SLS/SLES | SILICONS | ALCOHOL | PEG/PPG | MINERAL OILS | COLOURING AGENTS. Fragrance free.&nbsp;","23.92 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/foot-expertise-cream-wash-200ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/f/e/fehwcrewa_01_jvirtndxtlsj5ulf.jpg,SHOP,FEHWCREWA
FEPPSCAPLU,"Foot Expertise","Foot Expertise Capillary Plus - 150Ml","Capillary PLUS fatigue-relieving cream for feet, ankles, legs. A quickly-absorbed jelly cream for feet, ankles and legs, ideal to treat severe conditions of heaviness, swelling and tiredness due to excess weight, pregnancy, long-haul flights, strong heat, heavy sporting activities.Excellent for geriatric legs and feet suffering from thin epidermis, capillary fragility and poor circulation, causing fluid retention in tissues.&nbsp;PRODUCT FEATURES:Improve micro-circulation, lymph-drainage and veins� elasticity, effective against capillary fragilityPowerful humectantProvides an immediate relief: the feeling of tension fades and the skin immediately appears toned up, smooth, elastic and deeply moisturizedSuitable for all foot skin types, also for skins affected by diabetes and dermatitisINGREDIENTS:XpertMoist�Pseudoalteromonas Ferment ExtractProlineAlanineSerineAesculus Hippocastanum ExtractFree from PARABENS | SLS/SLES | SILICONS | ALCOHOL | COLOURING AGENTS.","35.12 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/foot-expertise-capillary-plus-150ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/f/e/feppscaplu_01_wav9prt2wnwwji0e.jpg,Healing,FEPPSCAPLU
FEPPSCRARE,"Foot Expertise","Foot Expertise Cracks Refiller - 75Ml","Cracks Refiller repairing cream for cracked and fissured heels. A rich and highly effective treatment with soothing, replenishing and calming action,to repair severely cracked heels prone to, or suffering from, fissures.PRODUCT FEATURES:Regenerating and remedial effect against hyperkeratosisActivates the natural skinregeneration process and helps to restore healthy skinXpertMoist� acts as a powerful humectant,hydrating and moisturizing the skin in depthSuitable for all foot skin types, also for skins affected by diabetes and dermatitisINGREDIENTS:XpertMoist�&nbsp;Pseudoalteromonas Ferment ExtractProlineAlanineSerineNMF substitute = Sodium LactateSodium PCAGlycineFructoseLactic AcidNiacinamideInositol.&nbsp;Free from PARABENS | SLS/SLES | SILICONS | ALCOHOL | PEG/PPG | MINERAL OILS | COLOURING AGENTS.","27.12 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/foot-expertise-cracks-refiller-75ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/f/e/feppscrare_01_lpwu0ysfgwvblpyz.jpg,Healing,FEPPSCRARE
FEPPSKESC,"Foot Expertise","Foot Expertise Kerato Scratcher","Kerato Scratcher, chemical exfoliator. A gentle peeling cream ideal to remove dead cells and unpleasant scales from the upper layers of skin surface, allowing a more effective cell renewal and preparing the feet for subsequent treatments.PRODUCT FEATURES:Removing old cells and horny debris from the skinKeratolysis stimulates circulation and rough skin is helped to become smooth and softRemoves skin cells from the stratum corneum, and facilitating penetration of XpertMoist a powerful supply of hydrationfor the skin&nbsp;Leavies the feet supple and extra hydrated.&nbsp;A frequent use helps to reduce the chronic thickening of the skin&nbsp;Suitable for all foot skin types.INGREDIENTS:XpertMoist&nbsp;Pseudoalteromonas Ferment ExtractProline&nbsp;AlanineSerineSalicylic Acid&nbsp;Free from PARABENS | SLS/SLES | SILICONS | ALCOHOL | PEG/PPG | MINERAL OILS | COLOURING AGENTS.&nbsp;75Ml","27.12 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/foot-expertise-kerato-scratcher,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/f/e/feppskesc_01_gzy5bvei5sa8ejyi.jpg,Healing,FEPPSKESC
FEPPSPERSPI,"Foot Expertise","Foot Expertise Perspiroff - 75Ml","PerspirOFF antiperspirant deodorant. Antiperspirant non-greasy cream to treat feet suffering from high perspiration, skin maceration and bad odor formation, with absorbing action.&nbsp;PRODUCT FEATURES:Acts against hyperhidrosisRegulating sweating and humidityMinimizing bacterial proliferation caused by sweat decomposing micro-organisms and subsequent bad odor formationProtecting the skin from fungal infections and itching between the toes.The non-greasy texture leaves a pleasant �dry effect� on the skin, very often oilySuitable for all foot skin types.INGREDIENTS:Aluminum Chloride&nbsp;Approved by your skin: Free from PARABENS | SLS/SLES | ALCOHOL | MINERAL OILS | COLOURING AGENTS. Preservative free.&nbsp;","23.92 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/foot-expertise-perspiroff-75ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/f/e/feppsperspi_01_bojct1swygrvahjt.jpg,Healing,FEPPSPERSPI
FESBLISH,"Foot Expertise","Foot Expertise Blister Shield","Blister Shield Preventive & protective lotion against blisters. Essential in any situation in which friction might occur, potentially causing discomfort, such as: wearing uncomfortable shoes (boots or high heels or work shoes), breaking in new shoes, running, cycling or dancing, during sport activities, when using gardening tools, tennis rackets. Very practical roll-on application: thanks to its small size it is ideal to be carried in any handbag for emergency when away from home.&nbsp;PRODUCT FEATURES:The watery-rich lotionCreates an invisible, protective film, smoothing the skin and cushioning the bruised skin or&nbsp;Prevents the formation of blisters thanks to a reduction of friction and rubbing.&nbsp;Acts as a second skinNo residues on socks and shoes, allowing the skin to breathe.Suitable for hands tooINGREDIENTS:&nbsp;XpertMoistPseudoalteromonas Ferment ExtractProlineAlanineSerineSodium HyaluronateFree from PARABENS | SLS/SLES | SILICONS | ALCOHOL | PEG/PPG | MINERAL OILS| COLOURING AGENTS. Fragrance free. Suitable for all foot skin types, also for skins affected by diabetes and dermatitis.30Ml","22.32 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/foot-expertise-blister-shield,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/f/e/fesblish_01_hv72rcjs7ko84zft.jpg,Healing,FESBLISH
FESFUN,"Foot Expertise","Sos Foot Protect Cream 30 Ml","SOS Foot Protect is a preventative skin cream that is quickly absorbed, non-greasy cream formulated to protect against outside causes of foot discomfort, promoting an unfavourable environment for foot problems to thrive and create foot conditions.PRODUCT FEATURES:Reinforces the natural barrier function and resilience of the skin.Relieves discomfort thanks to CAMPHOR and MENTHOL, with decongestant and astringent propertiesSuitable for all foot skin types, also for skins affected by diabetes and dermatitis.INGREDIENTS:Climbazole&nbsp;Chlorphenesin&nbsp;Camphor&nbsp;Menthol&nbsp;Approved by your skin: Free from PARABENS | SLS/SLES | SILICONS | ALCOHOL | PEG/PPG | MINERAL OILS| COLOURING AGENTS. Fragrance free.&nbsp;","17.52 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/sos-foot-protect-cream-30-ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/f/e/fesfun_540x540_q8zlcgrdowytzacx.png,Healing,FESFUN
FESTORE,"Foot Expertise","Foot Expertise Toenail Repair - 10Ml","Toenail Repair is a regenerating oil for discoloured and thickened nails.PRODUCT FEATURES:whitening, revitalizing and softening action, cleansing and strengthening distressed toenailsnon-sticky, it dries out very quickly, leaving a glossy coating&nbsp;Improving the appearance of nailsanti-irritant, anti-inflammatory and anti-fungal propertiesSuitable for toenails prone to thickening and yellow discoloration (conditions often related to drugs&#146; side effect, overuse of aggressive nail polishes, eczema, heavy smoking)&nbsp;INGREDIENTS:&nbsp;Salcylic Acid&nbsp;Climbazole&nbsp;Approved by your skin: Free from PARABENS | SLS/SLES | SILICONS | PEG/PPG | MINERAL OILS| COLOURING AGENTS. Fragrance free.","17.52 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/foot-expertise-toenail-repair-10ml,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/f/e/festore_01_klispy3zvsfntz9s.jpg,Healing,FESTORE
HTEMMC240,"Hair Treats","Hair Treats Moist Maintain Conditioner For Extensions","Specially formulated for hair extensions and wigs, HT Moist Maintain is water- based and will not adversely affect or alter any chemical treatments. Its unique formulation gives it an initially alkaline pH, thus allowing opening of the cuticles and penetrating deep into the cortex. While the hair is drying, the formula neutralizes itself back to its natural pH level. The now more acidic composition closes the cuticle, locking-in emollients. The unique formula is originally designed to tackle the most dry, damaged hair and split ends. It is traditionally used for hair that's been permed, tinted, or subjected to salt and chlorine. Ultimately, it tackles the biggest concerns with hair extensions: tanglement and dryness.PRODUCT FEATURES:&nbsp;This ultimately tackles the biggest concerns with hair extension such as; tangles, dryness and lack of shine.The added benefits of humectants and lubricants help hair extensions retain their moisture, resulting in soft healthy hair to the touch, and incredible shine to the eye.Moisturizing shampoo cleanses the hair without harsh detergents.Exclusive blend of conditioners (Aloe Vera Gel and Royal Jelly) for strength, elasticity and color retention, helps to restore the natural pH of hair.Perfect for maintaining hair extensions.&nbsp;HOW TO USE:&nbsp;&nbsp;To be used at home as a daily conditioner as a perfect moisture maintenance and great detangler.ABOUT THE BRAND:&nbsp;Our mission is to bring to the professional Hair Beauty market, thelatest innovations in products. Launched in 2010, Hair Treats began with itsunique professional line of double loop technology hair extensions, which is anon-aggressive system that gives you fantastic results instantly. You can nowcreate any vision in mind, and make it a reality with just the click of abutton and then a pinch of a plier.&nbsp;Hair Treats Extensions uses only 100% human remyhair collected by Indian temples, and delivered in a manner where the hair�scuticles remain in the same direction. With 10 application systems to choose from,different textures, and up to 40 colors, the possibilities are endless.","25.52 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/moist-maintain-conditioner-for-extensions,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/h/a/hairtreats1_glqf0zipjr6tttpg.png,Conditioner,HTEMMC240
HTEMMS240,"Hair Treats","Moist Maintain Shampoo For Extensions","Specially formulated for&nbsp;hair extensions and wigs, HT Moist Maintain is&nbsp;water- based&nbsp;and will not adversely affect or alter any chemical treatments. Its unique formulation gives it an initially alkaline pH, thus allowing opening of the cuticles and penetrating deep into the cortex. While the hair is drying, the formula neutralizes itself back to its natural pH level. The now more acidic composition closes the cuticle, locking-in emollients.&nbsp;&nbsp;PRODUCT FEATURES:&nbsp;This ultimately tackles the biggest concerns with hair extension such as; tangles, dryness and lack of shine.The added benefits of humectants and lubricants help hair extensions retain their moisture, resulting in soft healthy hair to the touch, and incredible shine to the eye.Moisturizing shampoo cleanses the hair without harsh detergents.Exclusive blend of conditioners (Aloe Vera Gel and Royal Jelly) for strength, elasticity and color retention, helps to restore the natural pH of hair.&nbsp;Perfect for maintaining hair extensions.&nbsp;ABOUT THE BRAND:&nbsp;Our mission is to bring to the professional Hair Beauty market, thelatest innovations in products. Launched in 2010, Hair Treats began with itsunique professional line of double loop technology hair extensions, which is anon-aggressive system that gives you fantastic results instantly. You can nowcreate any vision in mind, and make it a reality with just the click of abutton and then a pinch of a plier.&nbsp;Hair Treats Extensions uses only 100% human remyhair collected by Indian temples, and delivered in a manner where the hair�scuticles remain in the same direction. With 10 application systems to choose from,different textures, and up to 40 colors, the possibilities are endless.","17.56 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/moist-maintain-shampoo-for-extensions,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/h/a/hairtreats20conditioner_lkkfahsisblpknm2.png,"Hair Care",HTEMMS240
HTSTKRING,"Hair Treats","Stick Micro Ring Extension Tool","Silicone lined micro rings for Stick extensions:&nbsp;Silicone is soft and gentle, but you can count on these beads still offering a secure hold. They are perfect for fine and sensitive hair. You won&#146;t have to worry about slippage or damage.&nbsp;&nbsp;PRODUCT FEATURES:&nbsp;Lightweight, gentle, and easy to hide in hair.Offered in 5 colors: Dark brown, black, blonde, light brown or medium brown&nbsp;HOW TO USE:&nbsp;&nbsp;Using these beads is simple. The Loop Tool helps thread the beads onto each hair strand without creating tangles or loops. To secure each bead, clamp down it down with The Hair Extension Tool.INGREDIENTS:&nbsp; 100% human hairABOUT THE BRAND:&nbsp;Our mission is to bring to the professional Hair Beauty market, thelatest innovations in products. Launched in 2010, Hair Treats began with itsunique professional line of double loop technology hair extensions, which is anon-aggressive system that gives you fantastic results instantly. You can nowcreate any vision in mind, and make it a reality with just the click of abutton and then a pinch of a plier.&nbsp;Hair Treats Extensions uses only 100% human remyhair collected by Indian temples, and delivered in a manner where the hair�scuticles remain in the same direction. With 10 application systems to choose from,different textures, and up to 40 colors, the possibilities are endless.","15.96 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/stick-micro-ring-extension-tool,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/h/t/htstkring20-20stick20micro20ring_xbc5bjjwvuwi9n1c.jpg,SHOP,HTSTKRING
HTTSRB25,"Hair Treats","Therma Style Ceramic Round Brush 25Mm","A beautiful ceramic coated barrel style brush that evenly distributes and holds heat longer. It is the ideal brush to use when blowdrying your hair, as the barrel helps to reduce drying time.&nbsp;PRODUCT FEATURES:&nbsp;Round vented barrel diffuses heat evenly so hair dries faster, reduces blow drying time.Ion charged bristles for smooth, shiny hairTightens cuticle layer and seals in natural oilsTourmaline eliminates frizz and creates silky smooth hair.Lightweight designCushion rubber handleColor bands disappear when heat activatedAvailable in 4 sizes:&nbsp;25mm, 32mm, 43mm. and 53mm.ABOUT THE BRAND:&nbsp;Our mission is to bring to the professional Hair Beauty market, the latest innovations in products. Launched in 2010, Hair Treats began with its unique professional line of double loop technology hair extensions, which is a non-aggressive system that gives you fantastic results instantly. You can now create any vision in mind, and make it a reality with just the click of a button and then a pinch of a plier.&nbsp;Hair Treats Extensions uses only 100% human remy hair collected by Indian temples, and delivered in a manner where the hair�s cuticles remain in the same direction. With 10 application systems to choose from, different textures, and up to 40 colors, the possibilities are endless.","18.80 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/therma-style-ceramic-round-brush-25mm,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/h/t/httsrb25_joxlb52qjllnjdjd.png,"Hair Brushes",HTTSRB25
HTTSRB32,"Hair Treats","Therma Style Ceramic Round Brush 32Mm","A beautiful ceramic coated barrel style brush that evenly distributes and holds heat longer. It is the ideal brush to use when blowdrying your hair, as the barrel helps to reduce drying time.&nbsp;PRODUCT FEATURES:Round vented barrel diffuses heat evenly so hair dries faster, reduces blow drying time.Ion charged bristles for smooth, shiny hairTightens cuticle layer and seals in natural oilsTourmaline eliminates frizz and creates silky smooth hair.Lightweight designCushion rubber handleColor bands disappear when heat activatedAvailable in 4 sizes:&nbsp;25mm, 32mm, 43mm. and 53mm.ABOUT THE BRAND:&nbsp;Our mission is to bring to the professional Hair Beauty market, the latest innovations in products. Launched in 2010, Hair Treats began with its unique professional line of double loop technology hair extensions, which is a non-aggressive system that gives you fantastic results instantly. You can now create any vision in mind, and make it a reality with just the click of a button and then a pinch of a plier.&nbsp;Hair Treats Extensions uses only 100% human remy hair collected by Indian temples, and delivered in a manner where the hair�s cuticles remain in the same direction. With 10 application systems to choose from, different textures, and up to 40 colors, the possibilities are endless.","19.96 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/therma-style-ceramic-round-brush-32mm,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/h/t/httsrb32_xusc5ecwyz1sj3qk.png,"Hair Brushes",HTTSRB32
HTTSRB43,"Hair Treats","Therma Style Ceramic Round Brush 43Mm","A beautiful ceramic coated barrel style brush that evenly distributes and holds heat longer. It is the ideal brush to use when blowdrying your hair, as the barrel helps to reduce drying time.&nbsp;PRODUCT FEATURES:&nbsp;Round vented barrel diffuses heat evenly so hair dries faster, reduces blow drying time.Ion charged bristles for smooth, shiny hairTightens cuticle layer and seals in natural oilsTourmaline eliminates frizz and creates silky smooth hair.Lightweight designCushion rubber handleColor bands disappear when heat activatedAvailable in 4 sizes:&nbsp;25mm, 32mm, 43mm. and 53mm.ABOUT THE BRAND:&nbsp;Our mission is to bring to the professional Hair Beauty market, the latest innovations in products. Launched in 2010, Hair Treats began with its unique professional line of double loop technology hair extensions, which is a non-aggressive system that gives you fantastic results instantly. You can now create any vision in mind, and make it a reality with just the click of a button and then a pinch of a plier.&nbsp;Hair Treats Extensions uses only 100% human remy hair collected by Indian temples, and delivered in a manner where the hair�s cuticles remain in the same direction. With 10 application systems to choose from, different textures, and up to 40 colors, the possibilities are endless.","23.16 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/therma-style-ceramic-round-brush-43mm,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/h/t/httsrb43_btwkvbooacuxdxxp.png,"Hair Brushes",HTTSRB43
HTTSRB53,"Hair Treats","Therma Style Ceramic Round Brush 53Mm","Ceramic coated barrel evenly distributes and holds heat longer.Round vented barrel diffuses heat evenly so hair dries faster, reduces blow drying time.Ion charged bristles for smooth, shiny hairTightens cuticle layer and seals in natural oilsTourmaline eliminates frizz and creates silky smooth hair.Lightweight designCushion rubber handleColor bands disappear when heat activated&nbsp;Available in 4 sizes:25mm32mm43mm 53mm","24.40 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/therma-style-ceramic-round-brush-53mm,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/h/t/httsrb53_w8hkebweip70rkrc.png,"Hair Brushes",HTTSRB53
FHI-RW5003,FHI,"Heat Runway Iq Session Rollers 30Mm","The FHI Heat Runway IQ Session Styling Rapid Heat Rollers instantly create glamorous body, volume, curls and waves. Set of 4 large rollers made with self-gripping velcro.Self-gripping are perfect for hard to hold styles and up do�s.PRODUCT FEATURES:Both sides of the roller turn clear when the roller is hot &nbsp;and turns back to dark grey when the roller is cool and ready to come out of the hairEach roller heats to an ideal temperature to provide long lasting resultsAvailable as sets of 4 and in 4 sizes: small, medium, large and extra-large for all your styling needsUse only with FHI Heat Runway IQ products","7.96 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/heat-runway-iq-session-rollers-30mm,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/r/w/rw5003_wguomr27z782vpig.jpg,Accessories,FHI-RW5003
FHI-RW5005,FHI,"Rw5005 Fhi Heat Runway Iq Session Styling Heat Rollers (Setof 4) (Large 42Mm)","The FHI Heat Runway IQ Session Styling Rapid Heat Rollers instantly create glamorous body, volume, curls and waves. Set of 4 large rollers made with self-gripping velcro.Self-gripping are perfect for hard to hold styles and up do�s.PRODUCT FEATURES:Both sides of the roller turn clear when the roller is hot &nbsp;and turns back to dark grey when the roller is cool and ready to come out of the hair.Each roller heats to an ideal temperature to provide long lasting results.Available as sets of 4 and in 4 sizes: small, medium, large and extra-large for all your styling needs.Use only with FHI Heat Runway IQ products.","10.36 USD",Yes,New,https://magento-551129-2806123.cloudwaysapps.com/en/rw5005-fhi-heat-runway-iq-session-styling-heat-rollers-setof-4-large-42mm,https://magento-551129-2806123.cloudwaysapps.com/media/catalog/product/r/w/rw5005_mmrzgu4irgnf6n9p.jpg,Accessories,FHI-RW5005
