"A total of %1 rate(s) have been imported.","A total of %1 rate(s) have been imported."
"Shipping Methods","Shipping Methods"
"Please correct the data sent.","Please correct the data sent."
"Something went wrong while saving the method.","Something went wrong while saving the method."
"Something went wrong while deleting the record(s).","Something went wrong while deleting the record(s)."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Something went wrong while updating the record(s) status.","Something went wrong while updating the record(s) status."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"The rate has been saved","The rate has been saved"
"The method has been saved.","The method has been saved."
"Make sure your file isn't more than %1M.","Make sure your file isn't more than %1M."
"We can't provide the upload settings right now.","We can't provide the upload settings right now."
"-- Please Select --","-- Please Select --"
"%1 day(s)","%1 day(s)"
"%1 - %2 day(s)","%1 - %2 day(s)"
"Invalid entity","Invalid entity"
"Column <strong>%1</strong> not found","Column <strong>%1</strong> not found"
"Sum up rates","Sum up rates"
"Choose the lowest rate","Choose the lowest rate"
"Choose the highest rate","Choose the highest rate"
Disable,Disable
Enable,Enable
None,None
"Volumetric Weight","Volumetric Weight"
"Volumetric (V)","Volumetric (V)"
"Volume Attributes","Volume Attributes"
"To add the options, please go to settings %1.","To add the options, please go to settings %1."
"Import From Others","Import From Others"
"Import Rates","Import Rates"
"New Rate","New Rate"
"Incl. Tax","Incl. Tax"
"Click to change shipping method","Click to change shipping method"
"Sorry, no quotes are available for this order.","Sorry, no quotes are available for this order."
"Get shipping methods and rates","Get shipping methods and rates"
"You don't need to select a shipping method.","You don't need to select a shipping method."
"Address %1 <span>of %2</span>","Address %1 <span>of %2</span>"
"Shipping To","Shipping To"
Change,Change
"Shipping Method","Shipping Method"
"Sorry, no quotes are available for this order right now.","Sorry, no quotes are available for this order right now."
"Excl. Tax","Excl. Tax"
Items,Items
"Edit Items","Edit Items"
"Product Name","Product Name"
Qty,Qty
"Continue to Billing Information","Continue to Billing Information"
"Back to Select Addresses","Back to Select Addresses"
"Import Shipping Rates","Import Shipping Rates"
Import,Import
Cancel,Cancel
"Select Shipping Rates","Select Shipping Rates"
"Add New Shipping Rate","Add New Shipping Rate"
"Edit Shipping Rate","Edit Shipping Rate"
Save,Save
"Field ","Field "
" is required."," is required."
"Mageplaza Table Rate Shipping","Mageplaza Table Rate Shipping"
"Table Rate Shipping by Mageplaza","Table Rate Shipping by Mageplaza"
"Select Yes to enable this module","Select Yes to enable this module"
"Carrier Title","Carrier Title"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Include Virtual Products in Price Calculation","Include Virtual Products in Price Calculation"
"Use Volumetric Weight Calculation","Use Volumetric Weight Calculation"
"Select Weight Attribute","Select Weight Attribute"
"Select Volumetric (V) Attribute","Select Volumetric (V) Attribute"
"Support both input types: V or LxWxH","Support both input types: V or LxWxH"
"Attribute 1","Attribute 1"
"Attribute 2","Attribute 2"
"Attribute 3","Attribute 3"
"Shipping Factor","Shipping Factor"
"<a href=""https://en.wikipedia.org/wiki/Dimensional_weight"" target=""_blank"">What is shipping factor?</a>","<a href=""https://en.wikipedia.org/wiki/Dimensional_weight"" target=""_blank"">What is shipping factor?</a>"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Displayed Error Message","Displayed Error Message"
"Displayed on the View Cart Page, the Checkout Page","Displayed on the View Cart Page, the Checkout Page"
"Sort Order","Sort Order"
"All Store Views","All Store Views"
"Store View","Store View"
"Are you sure to delete selected items?","Are you sure to delete selected items?"
"Change Status","Change Status"
"Customer Groups","Customer Groups"
"Store Views","Store Views"
